Name,brand,rating,no_rating,key_benefit
Bakson's Homeopathy Nuphar Luteum Dilution 3X,Bakson Drugs & Pharmaceuticals Pvt. ltd.,,,"['', '', '', '', '', '', '', '', '']"
Bjain Damiana Dilution 30C,Bjain Pharmaceuticals Pvt. Ltd.,4.4,22 Ratings,"['', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Bjain Zingiber Officinale Dilution 200 CH,Bjain Pharmaceuticals Pvt. Ltd.,4.8,14 Ratings,"['', '', '', '', '', '', '', '', '']"
ADEL Silicea Biochemic Tablet 200X,Adel Pekana Germany,4.5,13 Ratings,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Bjain Bryonia Alba Dilution 3X,Bjain Pharmaceuticals Pvt. Ltd.,4.5,121 Ratings,"['', '', '', '', '', '', '', '', '', '', '', '']"
Bjain Cassia Sophera Mother Tincture Q,Bjain Pharmaceuticals Pvt. Ltd.,,,"['', '', '', '', '', '', '', '', '', '', '']"
ADEL Bio-Combination 16 Tablet,Adel Pekana Germany,,,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Bjain Fraxinus Americana Dilution 200C,Bjain Pharmaceuticals Pvt. Ltd.,,,"['', '', '', '', '', '', '', '', '']"
Wheezal Ars. Sulph. Flav. Trituration Tablet 3X,Wheezal Homoeo Pharma,,,"['', '', '', '', '', '', '', '']"
Bjain Oleander Dilution 200 CH,Bjain Pharmaceuticals Pvt. Ltd.,,,"['', '', '', '', '', '', '', '', '', '', '', '', '']"
Bakson's Homeopathy Dilution Baptisia Tinctoria 30,Bakson Drugs & Pharmaceuticals Pvt. ltd.,,,"['', '', '', '', '', '', '', '', '', '']"
Pioneer Pharma P46 Constipation Drop,Homeotrade,,,"['', '', '', '', '', '', '', '', '', '', '', '']"
Dr Willmar Schwabe India Zincum Arsenicosum Dilution 200 CH,Dr Willmar Schwabe India Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '']"
SBL Gunpowder Trituration Tablet 3X,SBL Pvt Ltd,4.7,17 Ratings,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Pioneer Pharma Copaiva Officinalis Pellets 1000 CH,Homeotrade,,,"['', '', '', '', '', '', '', '', '', '']"
Radient 68 Slim Fit Drops,Radient Pharma,,,"['', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Bjain Collinsonia Canadensis Globules 0/3 LM,Bjain Pharmaceuticals Pvt. Ltd.,,,"['', '', '', '', '', '', '']"
LDD Bioscience Urea Dilution 1000 CH,LDD Bioscience Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '', '', '']"
ADEL Baryta Mur Dilution 10M,Adel Pekana Germany,,,"['', '', '', '', '', '', '', '', '']"
SBL Pertussinum Dilution 1000 CH,SBL Pvt Ltd,,,"['', '', '', '', '', '', '', '']"
SBL Acidum Tartaricum Dilution 200 CH,SBL Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Lord's Jaborandi Hair Oil,Lord's Homoeopathic Laboratory Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '', '', '']"
Wheezal Guarana Globules 0/13 LM,Wheezal Homoeo Pharma,,,"['', '', '', '', '', '', '', '']"
Wheezal Oenanthe Crocata Dilution 6,Wheezal Homoeo Pharma,,,"['', '', '', '', '', '', '']"
Bjain Guaiacum Dilution 6 CH,Bjain Pharmaceuticals Pvt. Ltd.,,,"['', '', '', '', '', '', '', '', '', '']"
Bakson's Homeopathy Calcarea Fluorica Biochemic Tablet 3X,Bakson Drugs & Pharmaceuticals Pvt. ltd.,4.3,70 Ratings,"['', '', '', '', '', '', '']"
ADEL Ocimum Can Dilution 30 CH,Adel Pekana Germany,,,"['', '', '', '', '', '', '', '', '', '', '', '']"
Dr Willmar Schwabe India Ferrum Phosphoricum Biochemic Tablet 30X,Dr Willmar Schwabe India Pvt Ltd,4.7,58 Ratings,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
SBL Aurum Metallicum Dilution CM CH,SBL Pvt Ltd,4.4,93 Ratings,"['', '', '', '', '', '', '', '', '', '', '', '', '']"
Bjain Chlorum Dilution 6C,Bjain Pharmaceuticals Pvt. Ltd.,,,"['', '', '', '', '', '', '', '', '', '', '']"
Bakson's Homeopathy Kali Muriaticum Biochemic Tablet 30X,Bakson Drugs & Pharmaceuticals Pvt. ltd.,4.1,14 Ratings,"['', '', '', '', '', '']"
Wheezal Curcuma Longa Dilution 200,Wheezal Homoeo Pharma,,,[]
Dr Willmar Schwabe India Hypericum Perforatum Dilution 1000 CH,Dr Willmar Schwabe India Pvt Ltd,4.7,41 Ratings,"['', '', '', '', '', '', '', '', '', '']"
Rxhomeo Phosphoricum Acidum 1M,Rxhomeo Private Limited,,,"['', '', '', '', '', '', '', '', '', '', '']"
Wheezal Aconitum Napellus 0/18 LM,Wheezal Homoeo Pharma,,,"['', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Sett Dey Sepia Dilution 1M,Sett Dey & Co (Homeo) Lab,,,"['', '', '', '', '', '', '', '', '', '', '']"
Dr Willmar Schwabe India Nasturtium Officinale Dilution 30 CH,Dr Willmar Schwabe India Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '']"
Bjain Hepar Sulphur Dilution 10M CH,Bjain Pharmaceuticals Pvt. Ltd.,4.4,47 Ratings,"['', '', '', '', '', '', '', '', '', '']"
Sett Dey Gnaphalium Polycephalum Mother Tincture,Sett Dey & Co (Homeo) Lab,,,"['', '', '', '', '', '', '']"
Bakson's Homeopathy Luffa Bindal Dilution 3X,Bakson Drugs & Pharmaceuticals Pvt. ltd.,,,"['', '', '', '', '', '', '', '']"
Bakson's Homeopathy Alfalfa Tonic with Ginseng,Bakson Drugs & Pharmaceuticals Pvt. ltd.,4.3,162 Ratings,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Dr Willmar Schwabe India Guarea trichiloides Dilution 6 CH,Dr Willmar Schwabe India Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '']"
LDD Bioscience LD 30 Inflammation Drop,LDD Bioscience Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Wheezal WL31 Post Herpetic Neuralgia Drop,Wheezal Homoeo Pharma,,,[]
Bjain Justicia Adhatoda Dilution 200 CH,Bjain Pharmaceuticals Pvt. Ltd.,4.3,18 Ratings,"['', '', '', '', '', '', '', '', '', '']"
SBL Strychninum Dilution 6 CH,SBL Pvt Ltd,,,[]
Bjain Spigelia Marilandica Dilution 200 CH,Bjain Pharmaceuticals Pvt. Ltd.,,,"['', '', '', '', '', '', '', '', '', '', '', '']"
LDD Bioscience Cuprum Aceticum Dilution 1000 CH,LDD Bioscience Pvt Ltd,,,"['', '', '', '', '', '', '', '']"
ADEL Bio-Combination 18 Tablet,Adel Pekana Germany,,,"['', '', '', '', '', '', '', '', '', '', '', '']"
Bakson's Homeopathy Zincum Oxydatum Dilution 200,Bakson Drugs & Pharmaceuticals Pvt. ltd.,,,"['', '', '', '', '', '', '', '', '', '', '', '']"
Bjain Camphora Dilution 6C,Bjain Pharmaceuticals Pvt. Ltd.,,,"['', '', '', '', '', '', '', '', '']"
SBL Uranium Muriaticum Dilution 200 CH,SBL Pvt Ltd,,,"['', '', '', '', '', '', '']"
SBL Illicium Anisatum Dilution 1000 CH,SBL Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '', '', '']"
Bjain Argentum Nitricum Dilution 12C,Bjain Pharmaceuticals Pvt. Ltd.,4.5,36 Ratings,"['', '', '', '', '', '', '', '', '', '']"
Bjain Cactus Grandiflorus Globules 0/24 LM,Bjain Pharmaceuticals Pvt. Ltd.,,,"['', '', '', '', '', '']"
SBL Aconitum Ferox Dilution 200 CH,SBL Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '']"
Ralson Remedies Calcarea Sulphurica Biochemic Tablet 3X,Ralson Remedies Pvt Ltd,,,"['', '', '', '', '', '', '', '', '']"
Wheezal Plumbum Metallicum Globules 0/34 LM,Wheezal Homoeo Pharma,,,"['', '', '', '', '', '', '', '', '']"
Ralson Remedies Kali Phosphoricum Biochemic Tablet 6X,Ralson Remedies Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
LDD Bioscience Ferrum Arsenicum Dilution 1000 CH,LDD Bioscience Pvt Ltd,,,"['', '', '', '', '', '']"
Wheezal Arsenicum Metallicu Globules 0/52 LM,Wheezal Homoeo Pharma,,,"['', '', '', '', '', '']"
Wheezal Kali Carbonicum Globules 0/26 LM,Wheezal Homoeo Pharma,,,"['', '', '', '', '', '', '', '']"
Dr. Majumder Homeo World Acidum Picricum Dilution (30ml Each) 50M,Dr. Majumder Homeo World,,,"['', '', '', '', '', '', '', '', '', '', '']"
Bakson's Homeopathy Dulcamara Dilution 6X,Bakson Drugs & Pharmaceuticals Pvt. ltd.,,,"['', '', '', '', '', '', '', '']"
ADEL Dioscorea Vill. Dilution CM,Adel Pekana Germany,,,"['', '', '', '', '', '', '', '', '', '', '', '', '']"
Wheezal Calcarea Fluorica Globules 0/9 LM,Wheezal Homoeo Pharma,,,"['', '', '', '', '', '', '']"
SBL Calcarea Ova Tosta Dilution 200 CH,SBL Pvt Ltd,,,[]
Wheezal Arsenicum Album Globules 0/21 LM,Wheezal Homoeo Pharma,,,"['', '', '', '', '', '', '', '', '']"
LDD Bioscience Dioscorea Dilution 1000 CH,LDD Bioscience Pvt Ltd,,,"['', '', '', '', '', '', '', '']"
Dr. Reckeweg Magnesium Phosphoricum Dilution 6 CH,Dr Reckeweg & Co,4.5,60 Ratings,[]
LDD Bioscience Kali Iodatum 3X,LDD Bioscience Pvt Ltd,,,"['', '', '', '', '', '', '']"
Dr. Raj Arthro Gold Oil,Dr. Raj Homoeo Pharmacy,,,"['', '', '', '', '', '', '', '', '', '', '']"
Dr Willmar Schwabe India Ammonium Carbonicum Dilution 30 CH,Dr Willmar Schwabe India Pvt Ltd,4.7,18 Ratings,"['', '', '', '', '', '', '', '', '']"
Dr Willmar Schwabe Germany Acidum Hydrofluoricum Dilution 1M,Dr Willmar Schwabe India Pvt Ltd,,,"['', '', '', '', '', '', '', '', '']"
Allen A83 Bed-Wetting Drop,Allen Homoeo & Herbal Products Ltd,4,28 Ratings,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Dr Willmar Schwabe India Indigo Dilution 30 CH,Dr Willmar Schwabe India Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '', '', '']"
Similia Biocom No.27 Tablet,Similia Homoeo Laboratory,,,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Dr. Reckeweg Gelsemium Sempervirens Dilution 30 CH,Dr Reckeweg & Co,4.6,295 Ratings,"['', '', '', '', '', '', '', '', '', '', '', '', '']"
LDD Bioscience Cina Dilution 30 CH,LDD Bioscience Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '', '', '']"
Bakson's Homeopathy Hamamelis Virginica Dilution CM,Bakson Drugs & Pharmaceuticals Pvt. ltd.,,,"['', '', '', '', '', '', '']"
Bjain Iodium Globules 0/12 LM,Bjain Pharmaceuticals Pvt. Ltd.,,,"['', '', '', '', '', '', '', '', '', '', '', '', '']"
LDD Bioscience Alfalfa Dilution 30 CH,LDD Bioscience Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Wheezal Mutha Dilution 50M,Wheezal Homoeo Pharma,,,[]
Bakson's Homeopathy Dolichos Pruriens Dilution 200,Bakson Drugs & Pharmaceuticals Pvt. ltd.,,,"['', '', '', '', '', '']"
Dr Willmar Schwabe India Triosteum Perfoliatum Dilution 200 CH,Dr Willmar Schwabe India Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Bjain Dulcamara Globules 0/3 LM,Bjain Pharmaceuticals Pvt. Ltd.,,,"['', '', '', '', '', '', '', '', '', '']"
Wheezal Staphysagria Dilution 1M,Wheezal Homoeo Pharma,,,"['', '', '', '', '', '', '', '', '', '', '']"
Bjain Belladonna Dilution 6C,Bjain Pharmaceuticals Pvt. Ltd.,4.6,85 Ratings,"['', '', '', '', '', '', '', '', '', '']"
Dr. Reckeweg Iodium Dilution 30 CH,Dr Reckeweg & Co,4.5,72 Ratings,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
ADEL Alumina Dilution 50M,Adel Pekana Germany,4.5,19 Ratings,"['', '', '', '', '', '', '', '', '', '', '', '', '', '']"
SBL Guarea Trichilodies Dilution 200 CH,SBL Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '']"
SBL Lycopodium Clavatum Dilution CM CH,SBL Pvt Ltd,4.5,1333 Ratings,"['', '', '', '', '', '', '', '', '', '', '']"
Bjain Galium Aparine Mother Tincture Q,Bjain Pharmaceuticals Pvt. Ltd.,,,"['', '', '', '', '', '', '', '', '', '', '', '']"
Dr. Reckeweg Spongia Tosta Dilution 30 CH,Dr Reckeweg & Co,4.6,57 Ratings,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Dr Willmar Schwabe Germany Natrum Sulphuricum Dilution 30,Dr Willmar Schwabe India Pvt Ltd,,,"['', '', '', '', '', '']"
Dr Willmar Schwabe India Mercurius Auratus Dilution 30 CH,Dr Willmar Schwabe India Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '']"
Bjain Anacardium Orientale Dilution 3X,Bjain Pharmaceuticals Pvt. Ltd.,4.6,40 Ratings,"['', '', '', '', '', '', '', '', '', '', '']"
Dr. Reckeweg Lemna Minor Dilution 6 CH,Dr Reckeweg & Co,4.5,56 Ratings,[]
Bjain Hydrocotyle Asiatica Dilution 200C,Bjain Pharmaceuticals Pvt. Ltd.,,,"['', '', '', '', '', '', '', '', '', '', '', '']"
Wheezal Ranunculus Bulbosus Dilution 10M,Wheezal Homoeo Pharma,,,"['', '', '', '', '', '', '', '', '']"
Dr Willmar Schwabe India Tropaeolum Majus Dilution 12 CH,Dr Willmar Schwabe India Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '', '', '']"
SBL Tussilago Farfara Dilution 1000 CH,SBL Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '']"
SBL Vaccinotoxinum Dilution 12 CH,SBL Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '', '']"
Wheezal Kreosotum Globules 0/10 LM,Wheezal Homoeo Pharma,,,"['', '', '', '', '', '']"
Wheezal Drosera Rotundifolia Globules 0/13 LM,Wheezal Homoeo Pharma,,,"['', '', '', '', '', '', '']"
Sett Dey Lachnanthes Tinctoria Dilution 6,Sett Dey & Co (Homeo) Lab,,,"['', '', '', '', '', '', '', '']"
Bahola Ferolac Tablet,Bahola Labs,,,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Bjain Syzygium Jambolanum Mother Tincture Q,Bjain Pharmaceuticals Pvt. Ltd.,4.6,393 Ratings,"['', '', '', '', '', '', '', '', '', '']"
Dr. Majumder Homeo World Acidum Lacticum Dilution (30ml Each) 3X,Dr. Majumder Homeo World,,,"['', '', '', '', '', '', '', '']"
SBL Solanum Xanthocarpus Dilution 200 CH,SBL Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Bjain Jaborandi Dilution 6X,Bjain Pharmaceuticals Pvt. Ltd.,4.9,14 Ratings,"['', '', '', '', '', '', '', '', '']"
Hapro Causticum Dilution 50M,Hapro Homeo Chem Pvt Ltd,,,"['', '', '', '', '', '', '', '', '']"
LDD Bioscience Sulphur Dilution 1000 CH,LDD Bioscience Pvt Ltd,,,"['', '', '', '', '', '', '', '', '']"
Bakson's Homeopathy Pulex Irritans Dilution 10M,Bakson Drugs & Pharmaceuticals Pvt. ltd.,,,"['', '', '', '', '', '', '', '']"
Wheezal Solanum Nigrum Dilution 3X,Wheezal Homoeo Pharma,,,"['', '', '', '', '', '', '']"
Dr Willmar Schwabe India Agaricus Muscarius Dilution 200 CH,Dr Willmar Schwabe India Pvt Ltd,4.8,20 Ratings,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Lord's Kali Phos Biochemic Tablet 200X,Lord's Homoeopathic Laboratory Pvt Ltd,4.6,103 Ratings,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Bakson's Homeopathy Latrodectus Mactans Dilution 200,Bakson Drugs & Pharmaceuticals Pvt. ltd.,,,"['', '', '', '', '', '', '', '', '', '']"
Bakson's Homeopathy Calcarea Carbonica Dilution 1M,Bakson Drugs & Pharmaceuticals Pvt. ltd.,,,"['', '', '', '', '', '', '', '', '']"
LDD Bioscience Bio-Combination 21 Teething Troubles In Children Tablet,LDD Bioscience Pvt Ltd,,,"['', '', '', '', '', '', '', '', '']"
Bio India Complex 37 Pancreas Drop,Bio-India Pharma Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
LDD Bioscience Pareira Brava Mother Tincture Q,LDD Bioscience Pvt Ltd,,,[]
Bjain Eschscholtzia Californica Dilution 3X,Bjain Pharmaceuticals Pvt. Ltd.,,,"['', '', '', '', '', '', '', '', '', '']"
Dr Willmar Schwabe Germany Kreosotum Dilution 200,Dr Willmar Schwabe India Pvt Ltd,,,"['', '', '', '', '', '', '', '']"
Father Muller Ratanhia Drop 200C,Father Muller Charitable Institutions,,,"['', '', '', '', '', '', '']"
Lord's Koughcure Tablet,Lord's Homoeopathic Laboratory Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '', '', '']"
Organon Arnica Mon Dilution 200,Organon Homoeo Laboratory Pvt Ltd.,,,"['', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Wheezal Dilution Granatum 50M,Wheezal Homoeo Pharma,,,"['', '', '', '', '', '', '', '', '']"
ADEL Bovista. Dilution 6,Adel Pekana Germany,,,"['', '', '', '', '', '', '', '', '', '', '', '', '']"
Bjain Abies Nigra Dilution 12C,Bjain Pharmaceuticals Pvt. Ltd.,,,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Dr Willmar Schwabe Germany Cocculus Indicus Dilution 30,Dr Willmar Schwabe India Pvt Ltd,,,"['', '', '', '', '', '', '', '', '']"
Bakson's Homeopathy AC#9 Tablet,Bakson Drugs & Pharmaceuticals Pvt. ltd.,4.2,60 Ratings,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Wheezal Rauwolfia Serpentina Dilution 1M,Wheezal Homoeo Pharma,,,"['', '', '', '', '', '', '', '', '', '']"
Bjain Yohimbinum Trituration Tablet 3X,Bjain Pharmaceuticals Pvt. Ltd.,4.4,19 Ratings,"['', '', '', '', '', '', '', '', '', '']"
ADEL Allium Sat Dilution 6,Adel Pekana Germany,,,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
ADEL Phosphorus Dilution 1M,Adel Pekana Germany,4.7,10 Ratings,"['', '', '', '', '', '', '', '', '', '']"
Dr Willmar Schwabe India Jatropha Curcas Dilution 1000 CH,Dr Willmar Schwabe India Pvt Ltd,,,"['', '', '', '', '', '', '', '', '']"
Bjain Calcarea Phosphorica Globules 0/23 LM,Bjain Pharmaceuticals Pvt. Ltd.,,,"['', '', '', '', '', '', '', '']"
Wheezal Cinnabaris Dilution CM,Wheezal Homoeo Pharma,,,"['', '', '', '', '', '', '']"
Bakson's Homeopathy Bryophyllum Dilution 1M,Bakson Drugs & Pharmaceuticals Pvt. ltd.,,,"['', '', '', '', '', '', '', '']"
Bakson's Homeopathy Taraxacum Mother Tincture Q,Bakson Drugs & Pharmaceuticals Pvt. ltd.,,,"['', '', '', '', '', '', '', '', '', '', '']"
SBL Pix Liquida Dilution 12 CH,SBL Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '']"
Ralson Remedies Bio-Combination 12 Tablet,Ralson Remedies Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Bjain Lyssinum Dilution 1000 CH,Bjain Pharmaceuticals Pvt. Ltd.,,,"['', '', '', '', '', '', '', '', '']"
Pioneer Pharma Manganum Metal Globules Pellet Multidose Pills 200 CH,Homeotrade,,,"['', '', '', '', '', '', '', '', '', '', '']"
ADEL Nat Phos Dilution 10M,Adel Pekana Germany,,,"['', '', '', '', '', '', '', '', '', '', '', '', '']"
Sett Dey Jambolin Drop,Sett Dey & Co (Homeo) Lab,,,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Bjain Natrum Muriaticum Globules 0/14 LM,Bjain Pharmaceuticals Pvt. Ltd.,,,"['', '', '', '', '', '', '', '', '', '']"
Dr Willmar Schwabe India Lecithinum Dilution 12 CH,Dr Willmar Schwabe India Pvt Ltd,4,13 Ratings,"['', '', '', '', '', '', '', '', '', '']"
Bakson's Homeopathy Coffea Cruda Mother Tincture Q,Bakson Drugs & Pharmaceuticals Pvt. ltd.,,,"['', '', '', '', '', '', '', '', '']"
Lord's Sulphur Mother Tincture Q,Lord's Homoeopathic Laboratory Pvt Ltd,,,"['', '', '', '', '', '', '', '']"
Hering Pharma Insulinum Trituration Tablet 6X,Hering Pharma,,,"['', '', '', '', '']"
Bjain Bovista Dilution 30C,Bjain Pharmaceuticals Pvt. Ltd.,,,"['', '', '', '', '', '', '', '', '', '', '', '', '']"
Wheezal Bacillinum Dilution CM,Wheezal Homoeo Pharma,,,"['', '', '', '', '', '', '', '', '']"
Adven A-126 Pancreatic Drop,Adven Biotech Pvt Ltd,,,"['', '', '', '', '', '', '']"
SBL Rhus Toxicodendron 0/8 LM,SBL Pvt Ltd,4.7,13 Ratings,"['', '', '', '', '', '', '', '', '', '', '', '', '']"
BRL B.B. Phos Tonic,Boericke Research Laboratory,,,"['', '', '', '', '', '', '']"
Dr. Reckeweg Thlaspi Bursa Pastoris Dilution 200 CH,Dr Reckeweg & Co,,,"['', '', '', '', '', '', '', '', '', '']"
Dr Willmar Schwabe India Rhus Aromatica Dilution 200 CH,Dr Willmar Schwabe India Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Bio India Calcarea Fluorica Biochemic Tablet 200X,Bio-India Pharma Pvt Ltd,4.3,14 Ratings,"['', '', '', '', '', '', '', '', '', '', '', '', '']"
Bakson's Homeopathy Heloderma Horridus Dilution 1000 CH,Bakson Drugs & Pharmaceuticals Pvt. ltd.,,,"['', '', '', '', '', '']"
Adven Ad-Liv Tonic,Adven Biotech Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Dr Willmar Schwabe Germany Coffea Tosta Dilution 30,Dr Willmar Schwabe India Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '']"
SBL Baryta Carbonicum Dilution 200 CH,SBL Pvt Ltd,4.5,230 Ratings,"['', '', '', '', '', '', '', '', '', '', '', '', '']"
SBL Terebinthinae Oleum Mother Tincture Q,SBL Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '', '']"
Dr Willmar Schwabe Germany Acidum Picricum Dilution 200,Dr Willmar Schwabe India Pvt Ltd,,,"['', '', '', '', '', '']"
Dr Willmar Schwabe India Gnaphalium Polycephalum Dilution 200 CH,Dr Willmar Schwabe India Pvt Ltd,4.6,22 Ratings,"['', '', '', '', '', '', '', '', '', '', '', '', '']"
Dr Willmar Schwabe India Acidum Oxalicum Dilution 12 CH,Dr Willmar Schwabe India Pvt Ltd,4.2,15 Ratings,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Dr. Majumder Homeo World Acdoins Vernalis Dilution (30 ml Each) 6 CH,Dr. Majumder Homeo World,,,"['', '', '', '', '', '', '', '', '', '']"
Similia Thuja Dilution 200 CH,Similia Homoeo Laboratory,4.5,71 Ratings,"['', '', '', '', '', '', '']"
Dr Willmar Schwabe India Caladium Seguinum Dilution 6 CH,Dr Willmar Schwabe India Pvt Ltd,4.2,343 Ratings,"['', '', '', '', '', '', '', '', '', '', '']"
Dr. Majumder Homeo World Boerhaavia Diffusa 30,Dr. Majumder Homeo World,,,"['', '', '', '', '', '', '', '', '', '', '']"
Bjain Kreosotum Dilution 6C,Bjain Pharmaceuticals Pvt. Ltd.,,,"['', '', '', '', '', '', '', '']"
Bakson's Homeopathy Glycyrrhiza Galbra Dilution 1000 CH,Bakson Drugs & Pharmaceuticals Pvt. ltd.,,,"['', '', '', '', '', '', '', '']"
